"Cód.","Nombre","","Provincia","Región","Superficie (km2)","Población 2012","Densidad (hab./km2)","IDH 2005"
"14203","Lago Ranco","","Ranco","Los Ríos","1.763,3","9.380","5,7","0,606"
"14204","Río Bueno","","Ranco","Los Ríos","2.211,7","31.343","15,5","0,624"
"10101","Puerto Montt","","Llanquihue","Los Lagos","1.673,0","248.945","142,5","0,718"
"10102","Calbuco","","Llanquihue","Los Lagos","590,8","34.902","59,1","0,642"
"10103","Cochamó","","Llanquihue","Los Lagos","3.910,8","4.326","1,1","0,690"
"10104","Fresia","","Llanquihue","Los Lagos","1.278,1","12.454","9,7","0,657"
"10105","Frutillar","","Llanquihue","Los Lagos","831,4","17.756","21,4","0,669"
"10106","Los Muermos","","Llanquihue","Los Lagos","1.245,8","16.522","13,3","0,648"
"10107","Llanquihue","","Llanquihue","Los Lagos","420,8","18.151","43,1","0,695"
"10108","Maullín","","Llanquihue","Los Lagos","860,8","13.914","16,2","0,691"
"10109","Puerto Varas","","Llanquihue","Los Lagos","4.064,9","39.414","9,7","0,748"
"10201","Castro","","Chiloé","Los Lagos","472,5","50.764","107,4","0,720"
"10202","Ancud","","Chiloé","Los Lagos","1.752,4","41.960","23,9","0,705"
"10203","Chonchi","","Chiloé","Los Lagos","1.362,1","14.639","10,7","0,641"
"10204","Curaco de Vélez","","Chiloé","Los Lagos","80,0","3.884","48,6","0,702"
"10205","Dalcahue","","Chiloé","Los Lagos","1.239,4","14.548","11,7","0,690"
"10206","Puqueldón","","Chiloé","Los Lagos","97,3","4.097","42,1","0,628"
"10207","Queilén","","Chiloé","Los Lagos","332,9","5.319","16,0","0,646"
"10208","Quellón","","Chiloé","Los Lagos","3.244,0","30.964","9,5","0,670"
"10209","Quemchi","","Chiloé","Los Lagos","440,3","9.191","20,9","0,656"
"10210","Quinchao","","Chiloé","Los Lagos","160,7","9.043","56,3","0,648"
"10301","Osorno","","Osorno","Los Lagos","951,0","153.797","152,9","0,700"
"10302","Puerto Octay","","Osorno","Los Lagos","1.795,7","9.480","5,3","0,679"
"10303","Purranque","","Osorno","Los Lagos","1.458,8","20.768","14,2","0,627"
"10304","Puyehue","","Osorno","Los Lagos","1.597,9","11.370","7,1","0,675"
"10305","Río Negro","","Osorno","Los Lagos","1.265,7","13.425","10,6","0,633"
"10306","San Juan de la Costa","","Osorno","Los Lagos","1.517,0","7.997","5,3","0,510"
"10307","San Pablo","","Osorno","Los Lagos","637,3","9.150","14,4","0,625"
"10401","Chaitén","","Palena","Los Lagos","8.470,5","7.122","0,8","0,704"
"10402","Futaleufú","","Palena","Los Lagos","1.280,0","1.836","1,4","0,665"
"10403","Hualaihué","","Palena","Los Lagos","2.787,7","8.426","3,0","0,659"
"10404","Palena","","Palena","Los Lagos","2.763,7","1.665","0,6","0,667"
